Elon Musk,elonmusk
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\elonmusk\
Tweet Date,Display Name,User Name,Tweet URL,Media Type,Media URl,Saved Filename,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-07-11 16:40,https://twitter.com/elonmusk/status/1811319691052278180,"When ur way underleveled for video game boss fight 
 ",8615,764,1427
2024-07-11 16:36,https://twitter.com/elonmusk/status/1811318658993369281,"Computers will control the future
…
…
…
They already do",14141,1652,2983
2024-07-11 14:46,https://twitter.com/elonmusk/status/1811290840222097875,"The physicality of the brain becomes startlingly obvious upon inspection: it is a biological computer.

Our brains shrinks over time as we age and when you see the brain of someone with severe dementia, the damage is not subtle. What is surprising is that it functions at all.",31731,3639,4226
2024-07-11 07:46,https://twitter.com/elonmusk/status/1811185145455820942,,18342,1925,3329
2024-07-11 03:36,https://twitter.com/elonmusk/status/1811122393097851238,The New York Times specializes in tediously misleading propaganda,53820,9154,3785
2024-07-11 02:53,https://twitter.com/elonmusk/status/1811111478835249270,Neuralink update!,40162,5692,3364
2024-07-11 01:21,https://twitter.com/elonmusk/status/1811088280320102884,"After the presentation, the @Neuralink team will take questions from 𝕏",26813,2304,2464
2024-07-11 01:12,https://twitter.com/elonmusk/status/1811086120408732074,The @Neuralink team is doing a live video update in about 5 minutes …,30915,3039,3684
2024-07-11 01:09,https://twitter.com/elonmusk/status/1811085443502592132,Grok fun mode news is awesome 😂 ,28329,4379,3020
2024-07-10 23:54,https://twitter.com/elonmusk/status/1811066596150202675,The simulation is sending us a message 👀 ,321294,31028,16124
2024-07-10 22:49,https://twitter.com/elonmusk/status/1811050217061728759,Extremely concerning!,94847,25894,7672
2024-07-10 12:03,https://twitter.com/elonmusk/status/1810887584232657026,"To make up for this heinous crime, I will refrain from having omelette for a week ",152741,15954,10503
2024-07-10 06:51,https://twitter.com/elonmusk/status/1810808931486421311,Getting ready for flight 5!,122261,12169,4830
